"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RPGLIFE","EQ","14-Sep-2022","        741.95","        733.00","        748.45","        722.50","        729.80","        728.65","        734.71","      26635","            19569057.30","       3261","      12096","         45.41"
"RPGLIFE","EQ","15-Sep-2022","        728.65","        730.00","        765.00","        730.00","        751.20","        752.60","        750.08","      51329","            38500856.40","       4171","      23380","         45.55"
"RPGLIFE","EQ","16-Sep-2022","        752.60","        755.00","        768.60","        731.00","        744.25","        737.95","        748.25","      31784","            23782296.75","       3558","      16621","         52.29"
"RPGLIFE","EQ","19-Sep-2022","        737.95","        740.00","        773.30","        740.00","        767.00","        768.75","        761.22","      67148","            51114388.30","       5340","      31259","         46.55"
"RPGLIFE","EQ","20-Sep-2022","        768.75","        777.90","        808.00","        775.00","        788.00","        791.95","        795.20","     179096","           142417145.85","      11209","      56359","         31.47"
"RPGLIFE","EQ","21-Sep-2022","        791.95","        790.00","        797.75","        753.00","        758.25","        760.40","        778.86","      46178","            35966150.10","       4485","      19915","         43.13"
"RPGLIFE","EQ","22-Sep-2022","        760.40","        751.50","        768.75","        740.00","        743.10","        743.55","        748.48","      43614","            32644059.00","       3953","      20591","         47.21"
"RPGLIFE","EQ","23-Sep-2022","        743.55","        750.00","        761.95","        736.60","        754.85","        749.55","        750.97","      32654","            24522268.35","       4077","      13084","         40.07"
"RPGLIFE","EQ","26-Sep-2022","        749.55","        733.00","        746.85","        713.05","        720.10","        718.45","        725.93","      40326","            29273707.45","       4273","      22388","         55.52"
"RPGLIFE","EQ","27-Sep-2022","        718.45","        720.00","        742.95","        715.20","        730.55","        729.10","        730.08","      37093","            27080914.25","       4066","      12392","         39.62"
"RPGLIFE","EQ","28-Sep-2022","        729.10","        720.00","        746.10","        717.15","        740.00","        735.45","        738.59","      46606","            34422943.05","       6219","      12928","         27.74"
"RPGLIFE","EQ","29-Sep-2022","        735.45","        750.00","        755.25","        722.80","        730.00","        727.70","        736.30","      44608","            32845002.90","       6443","       9435","         21.15"
"RPGLIFE","EQ","30-Sep-2022","        727.70","        731.35","        819.00","        731.35","        807.40","        808.40","        792.15","     380765","           301623710.00","      22364","     100864","         26.49"
"RPGLIFE","EQ","03-Oct-2022","        808.40","        809.80","        828.00","        778.00","        779.00","        786.45","        810.74","     255212","           206911361.55","      14359","      64482","         25.27"
"RPGLIFE","EQ","04-Oct-2022","        786.45","        799.70","        811.00","        777.10","        786.35","        786.75","        798.35","      90482","            72236596.80","       7827","      22006","         24.32"
"RPGLIFE","EQ","06-Oct-2022","        786.75","        790.00","        795.00","        771.20","        780.00","        779.55","        782.35","      43706","            34193436.85","       4143","      19453","         44.51"
"RPGLIFE","EQ","07-Oct-2022","        779.55","        779.80","        793.20","        772.30","        788.90","        789.65","        785.71","      43820","            34429778.55","       4422","      13136","         29.98"
"RPGLIFE","EQ","10-Oct-2022","        789.65","        783.60","        809.90","        776.15","        793.00","        793.00","        800.27","     110525","            88450252.55","       9418","      22519","         20.37"
"RPGLIFE","EQ","11-Oct-2022","        793.00","        813.70","        813.70","        791.00","        798.05","        798.40","        804.62","      79927","            64310687.45","       4527","      31443","         39.34"
"RPGLIFE","EQ","12-Oct-2022","        798.40","        802.30","        827.00","        788.40","        801.90","        802.00","        812.03","      91632","            74408143.10","       5805","      28716","         31.34"
"RPGLIFE","EQ","13-Oct-2022","        802.00","        810.00","        847.85","        786.00","        837.65","        830.20","        829.52","     242046","           200782527.25","      15558","      75398","         31.15"
